,代码,名称,盈利额
513,000502,*ST绿景,12835.0
514,300127,银河磁体,12820.0
515,300783,三只松鼠,12815.0
516,300022,吉峰科技,12800.0
517,300955,嘉亨家化,12794.0
518,002079,苏州固锝,12789.0
519,601696,中银证券,12735.0
520,002732,燕塘乳业,12735.0
521,300809,华辰装备,12729.0
522,002179,中航光电,12700.0
523,300757,罗博特科,12696.0
524,300997,欢乐家,12690.0
525,300578,会畅通讯,12678.0
526,300207,欣旺达,12673.0
527,002714,牧原股份,12654.0
528,300469,信息发展,12611.0
529,300585,奥联电子,12609.0
530,688299,长阳科技,12600.0
531,300613,富瀚微,12587.0
532,688113,联测科技,12586.0
533,300947,德必集团,12585.0
534,301073,君亭酒店,12551.0
535,300928,华安鑫创,12548.0
536,002123,梦网科技,12538.0
537,300556,丝路视觉,12517.0
538,002650,加加食品,12509.0
539,002624,完美世界,12490.0
540,300602,飞荣达,12471.0
541,603985,恒润股份,12466.0
542,002231,奥维通信,12439.0
543,688639,华恒生物,12423.0
544,603439,贵州三力,12396.0
545,000625,长安汽车,12390.0
546,603659,璞泰来,12385.0
547,603306,华懋科技,12383.0
548,002466,天齐锂业,12339.0
549,002695,煌上煌,12330.0
550,300061,旗天科技,12326.0
551,301020,密封科技,12315.0
552,300566,激智科技,12287.0
553,688071,华依科技,12284.0
554,002943,宇晶股份,12279.0
555,300743,天地数码,12272.0
556,000636,风华高科,12264.0
557,000661,长春高新,12251.0
558,000802,ST北文,12250.0
559,688699,明微电子,12230.0
560,600365,ST通葡,12228.0
561,603931,格林达,12220.0
562,600805,悦达投资,12213.0
563,003040,楚天龙,12168.0
564,600803,新奥股份,12162.0
565,603486,科沃斯,12144.0
566,002537,海联金汇,12138.0
567,002702,海欣食品,12130.0
568,301035,润丰股份,12126.0
569,603078,江化微,12105.0
570,688077,大地熊,12090.0
571,600303,曙光股份,12063.0
572,002153,石基信息,12055.0
573,000049,德赛电池,12052.0
574,600421,华嵘控股,12049.0
575,300100,双林股份,12035.0
576,600893,航发动力,12026.0
577,300236,上海新阳,12016.0
578,688521,芯原股份-U,12000.0
579,000568,泸州老窖,11998.0
580,002405,四维图新,11992.0
581,301030,仕净科技,11990.0
582,300759,康龙化成,11972.0
583,600355,精伦电子,11971.0
584,300740,水羊股份,11960.0
585,603982,泉峰汽车,11957.0
586,300861,美畅股份,11957.0
587,600137,浪莎股份,11945.0
588,601606,长城军工,11944.0
589,002594,比亚迪,11931.0
590,600563,法拉电子,11916.0
591,300458,全志科技,11897.0
592,603378,亚士创能,11888.0
593,003026,中晶科技,11874.0
594,605018,长华股份,11860.0
595,300723,一品红,11858.0
596,000615,奥园美谷,11836.0
597,002414,高德红外,11828.0
598,300293,蓝英装备,11824.0
599,000023,深天地A,11822.0
600,688608,恒玄科技,11817.0
601,300233,金城医药,11808.0
602,600386,北巴传媒,11802.0
603,002759,天际股份,11797.0
604,002747,埃斯顿,11770.0
605,300991,创益通,11763.0
606,300560,中富通,11757.0
607,301002,崧盛股份,11752.0
608,300497,富祥药业,11724.0
609,600104,上汽集团,11716.0
610,301027,华蓝集团,11710.0
611,688319,欧林生物,11702.0
612,300654,世纪天鸿,11672.0
613,300858,科拓生物,11670.0
614,002557,洽洽食品,11668.0
615,600189,泉阳泉,11667.0
616,300456,赛微电子,11648.0
617,000004,国华网安,11640.0
618,688233,神工股份,11633.0
619,002568,百润股份,11631.0
620,003006,百亚股份,11628.0
621,600880,博瑞传播,11617.0
622,301010,晶雪节能,11615.0
623,002171,楚江新材,11589.0
624,600767,运盛医疗,11575.0
625,002247,聚力文化,11572.0
626,603919,金徽酒,11566.0
627,002032,苏泊尔,11565.0
628,600455,博通股份,11541.0
629,600673,东阳光,11524.0
630,600213,亚星客车,11499.0
631,000796,凯撒旅业,11490.0
632,300592,华凯创意,11483.0
633,600793,宜宾纸业,11479.0
634,600111,北方稀土,11477.0
635,002659,凯文教育,11472.0
636,600754,锦江酒店,11436.0
637,603239,浙江仙通,11418.0
638,002803,吉宏股份,11416.0
639,002332,仙琚制药,11416.0
640,000929,兰州黄河,11413.0
641,688767,博拓生物,11390.0
642,300472,新元科技,11370.0
643,300394,天孚通信,11353.0
644,000036,华联控股,11338.0
645,300956,英力股份,11335.0
646,002602,世纪华通,11318.0
647,603777,来伊份,11308.0
648,601636,旗滨集团,11307.0
649,300267,尔康制药,11299.0
650,002497,雅化集团,11290.0
651,688127,蓝特光学,11282.0
652,002959,小熊电器,11256.0
653,002715,登云股份,11240.0
654,300543,朗科智能,11223.0
655,605111,新洁能,11212.0
656,002983,芯瑞达,11209.0
657,688060,云涌科技,11208.0
658,002074,国轩高科,11201.0
659,300109,新开源,11193.0
660,301046,能辉科技,11188.0
661,605123,派克新材,11186.0
662,600287,江苏舜天,11154.0
