trade_date,pb1220,pb1098,pb976,pb854,pb732,pb610,pb488,pb366,pb244,pb122,pb1,min1,min2,min3,max1,max2,max3,close
20051129,2.7305,2.6053,2.3932,2.4226,2.474,2.5143,2.2704,1.7797,1.3867,1.2926,0.9019,1.2926,1.3867,1.7797,2.7305,2.6053,2.5143,3.07
20051130,2.7283,2.6014,2.3916,2.4211,2.4725,2.5101,2.2651,1.7731,1.3833,1.2903,0.8846,1.2903,1.3833,1.7731,2.7283,2.6014,2.5101,3.07
20051201,2.7261,2.5974,2.3899,2.4197,2.471,2.5058,2.2597,1.7667,1.3799,1.2881,0.8846,1.2881,1.3799,1.7667,2.7261,2.5974,2.5058,3.08
20051202,2.7239,2.5934,2.3884,2.4182,2.4694,2.5016,2.2546,1.7602,1.3764,1.2859,0.8875,1.2859,1.3764,1.7602,2.7239,2.5934,2.5016,3.12
20051205,2.7216,2.5894,2.3868,2.4168,2.468,2.4979,2.2497,1.7537,1.3733,1.2835,0.899,1.2835,1.3733,1.7537,2.7216,2.5894,2.4979,3.06
20051206,2.7194,2.5854,2.3852,2.4153,2.4665,2.4938,2.2448,1.7473,1.37,1.2811,0.8817,1.2811,1.37,1.7473,2.7194,2.5854,2.4938,3.1
20051207,2.7172,2.5814,2.3836,2.4139,2.465,2.4894,2.2397,1.7408,1.367,1.2785,0.8932,1.2785,1.367,1.7408,2.7172,2.5814,2.4894,3.16
20051208,2.715,2.5774,2.3821,2.4125,2.4635,2.4852,2.2342,1.7346,1.3638,1.2761,0.9105,1.2761,1.3638,1.7346,2.715,2.5774,2.4852,3.13
20051209,2.7127,2.5734,2.3805,2.4111,2.4621,2.4803,2.2287,1.7287,1.3604,1.2736,0.9019,1.2736,1.3604,1.7287,2.7127,2.5734,2.4803,3.19
20051212,2.7105,2.5694,2.3789,2.4096,2.4606,2.4757,2.2232,1.7233,1.357,1.2715,0.9191,1.2715,1.357,1.7233,2.7105,2.5694,2.4757,3.2
20051213,2.7083,2.5653,2.3774,2.4082,2.4591,2.471,2.2178,1.7179,1.3538,1.2695,0.922,1.2695,1.3538,1.7179,2.7083,2.5653,2.471,3.23
20051214,2.7062,2.5614,2.3757,2.4068,2.4576,2.4663,2.2124,1.7123,1.3503,1.2674,0.9307,1.2674,1.3503,1.7123,2.7062,2.5614,2.4663,3.29
20051215,2.7041,2.5576,2.3741,2.4053,2.456,2.4617,2.2069,1.7069,1.347,1.2653,0.948,1.2653,1.347,1.7069,2.7041,2.5576,2.4617,3.28
20051216,2.702,2.5537,2.3726,2.4039,2.4545,2.4571,2.2016,1.7013,1.3438,1.2633,0.9451,1.2633,1.3438,1.7013,2.702,2.5537,2.4571,3.36
20051219,2.6999,2.55,2.3712,2.4026,2.453,2.4527,2.1964,1.6957,1.3407,1.2615,0.9681,1.2615,1.3407,1.6957,2.6999,2.55,2.453,3.34
20051220,2.6977,2.5463,2.3696,2.4013,2.4515,2.4482,2.1912,1.6903,1.3376,1.2595,0.9624,1.2595,1.3376,1.6903,2.6977,2.5463,2.4515,3.29
